Institution,CourseName,3AG,Predicted_AvgCutoffRank
E232  Reva University  Bangalore,AM B Tech in AM,18045.0,46708.963807644024
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BL B Tech in AS,18051.0,49498.25871813722
"E003  B M S College of Engineering  Basavanagudi,Bangalore",CE Civil,18125.0,43475.271257282264
E079  Acharya Institute of Technology  Bangalore,AI ArtificialIntelligence,18210.0,38930.81433972801
E129  St. Joseph Engineering College  Mangalore,CS Computers,18213.0,33132.26743687645
E034  Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,AI ArtificialIntelligence,18218.0,38762.60592796329
E008  Bangalore Institute of Technology  Bangalore,EE Electrical,18313.0,38154.81647115311
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IC CS-IoT, CyberSecurity",18390.0,37038.105614680106
E011  M V J College of Engineering  Bangalore,IE Info.Science,18537.0,37239.13848748717
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BB B Tech in EC,18754.0,42056.71236182672
E016  Siddaganga Institute of Technology  Tumkur,EE Electrical,18762.0,38254.51155986145
E047  Malnad College of Engineering  Hassan,IE Info.Science,18788.0,39282.967499355
E049  Basaveshwara Engineering College  Bagalkot,CS Computers,18828.0,33213.28949148613
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT Bio Technology,18983.0,43693.45070447561
E006  M S Ramaiah Institute of Technology  Bangalore,MD Med.Elect.,19041.0,42131.47188589529
E103  Global Academy of Technology  Bangalore,IE Info.Science,19076.0,40478.64323473707
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,DS Comp. Sc. Engg-Data Sc.,19122.0,35719.99926331561
E024  Malnad College of Engineering  Hassan,EC Electronics,19143.0,37247.78583118322
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",AI ArtificialIntelligence,19172.0,39693.35723516206
E006  M S Ramaiah Institute of Technology  Bangalore,CH Chemical,19215.0,46496.55261188605
E082  J S S Academy of Technical Education  Bangalore,EC Electronics,19279.0,43860.205324041366
E062  Bapuji Institute of Engineering and Technology  Davangere,CS Computers,19289.0,34744.17495453269
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,CF CS(ArtificialIntel.),19423.0,38167.93598780965
E056  The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EE Electrical,19735.0,39694.18526221969
E091  K S Institute of Technology  Bangalore,CS Computers,19949.0,39990.283114970145
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",EE Electrical,20038.0,47811.2879466292
"E060  Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore",CB Comp. Sc. andBus Sys.,20044.0,45631.59262797626
E058  P E S College of Engineering  Mandya,"CA CS (AI, MachineLearning)",20071.0,44628.56090715449
E007  Dayananda Sagar College of Engineering  Bangalore,ET Elec.Telecommn. Engg.,20106.0,47542.98821189713
"E126  B M S Institute of Technology and Management  Yelahanka, Bangalore",ET Elec.Telecommn. Engg.,20219.0,45313.039297746196
E011  M V J College of Engineering  Bangalore,AI ArtificialIntelligence,20334.0,39125.42016414498
E037  K.L.S. Gogte Institute of Technology  Belgaum,"CA CS (AI, MachineLearning)",20348.0,36485.80895744561
E002  S K S J T Institute of Engineering.  Bangalore,EC Electronics,20388.0,35732.37773118176
E021  Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,"EL Electronics,Instr. Tech.",20454.0,55835.26730834266
E232  Reva University  Bangalore,BG B Tech in AD,20596.0,46455.81998896136
E149  Cambridge Institutute of Technology  Bangalore,CS Computers,20686.0,39959.62860816815
E133  G S S S Institute of Engineering and Technology for Women  Mysore,IE Info.Science,20829.0,43116.11322591661
E079  Acharya Institute of Technology  Bangalore,AE Aeronaut.Engg,20837.0,48748.28121919381
E079  Acharya Institute of Technology  Bangalore,BT Bio Technology,20976.0,49306.06024573157
E173  Sai Vidya Institute of Technology  Bangalore,CS Computers,21001.0,42365.59915395445
E097  C M R Institute of Technology  Bangalore,EC Electronics,21022.0,46837.093470281136
E008  Bangalore Institute of Technology  Bangalore,ET Elec.Telecommn. Engg.,21125.0,53276.95697394362
E009  P E S University (Ring Road Campus)  Bangalore,DB B Tech in ME,21154.0,49682.313709025206
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,CS Computers,21170.0,37948.09893778894
E212  Dayananda Sagar Academy of Technology  Kanakapur Main Road Bangalore,CY CS- CyberSecurity,21221.0,46710.22840703027
E108  Sapthagiri NPS College of Engineering  Bangalore,IE Info.Science,21372.0,47955.61950840233
"E115  S J B Institute of Technology  Kengeri,Bangalore (ATNMS)",DS Comp. Sc. Engg-Data Sc.,21515.0,42528.19313839514
E059  P D A College of Engineering  Gulbarga,CS Computers,21590.0,36302.28616010005
E105  Nitte Meenakshi Institutute of Technology  Bangalore,AE Aeronaut.Engg,21590.0,46323.87188988096
E103  Global Academy of Technology  Bangalore,AI ArtificialIntelligence,21671.0,46447.94605567227
